Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 00:00:00+05:30,1582.896088620643,1635.9810184219452,1579.759251859657,1584.874755859375,3671930,0.0,0.0
2020-06-10 00:00:00+05:30,1590.6177791447683,1616.7741523130824,1571.2176708150548,1578.9873046875,2069280,0.0,0.0
2020-06-11 00:00:00+05:30,1578.9870788498051,1588.6871905372388,1551.0451489631487,1554.519775390625,1888420,0.0,0.0
2020-06-12 00:00:00+05:30,1524.9854147091692,1585.7434890090196,1522.5724631036167,1580.3385009765625,2391556,0.0,0.0
2020-06-15 00:00:00+05:30,1572.2792223829676,1593.1754062689802,1546.3158402664392,1561.855224609375,1681166,0.0,0.0
2020-06-16 00:00:00+05:30,1581.9311940278958,1583.13766992328,1551.67280213564,1565.2335205078125,1497691,0.0,0.0
2020-06-17 00:00:00+05:30,1551.575842706318,1566.1500435914943,1535.0229748176444,1539.848876953125,1812788,0.0,0.0
2020-06-18 00:00:00+05:30,1539.8491923505915,1556.0641561550879,1532.0312528537897,1542.1656494140625,1417273,0.0,0.0
2020-06-19 00:00:00+05:30,1542.165700145826,1573.2444701584168,1535.6507307141883,1566.005615234375,2714342,0.0,0.0
2020-06-22 00:00:00+05:30,1576.1399366932278,1615.2297514121965,1567.4533112001236,1594.6231689453125,2034739,0.0,0.0
2020-06-23 00:00:00+05:30,1602.0551790459838,1630.1902203260731,1583.8615462137868,1625.267822265625,2334863,0.0,0.0
2020-06-24 00:00:00+05:30,1625.364072392778,1750.5962507733973,1625.364072392778,1686.4117431640625,11545923,0.0,0.0
2020-06-25 00:00:00+05:30,1679.4141492284637,1686.1704130471987,1624.5436587788565,1630.18994140625,4054785,0.0,0.0
2020-06-26 00:00:00+05:30,1650.4588823331203,1650.7966719906701,1612.5272363304862,1628.0184326171875,2129986,0.0,0.0
2020-06-29 00:00:00+05:30,1628.2598781396337,1648.9629575001663,1615.7608349167342,1633.0374755859375,2753482,0.0,0.0
2020-06-30 00:00:00+05:30,1649.3971644586386,1658.1802844268384,1623.095992892497,1628.6939697265625,1960731,0.0,0.0
2020-07-01 00:00:00+05:30,1638.8767823133423,1638.8767823133423,1621.551836365613,1629.2249755859375,1661296,0.0,0.0
2020-07-02 00:00:00+05:30,1640.806880844113,1644.6676029166874,1602.296154606206,1627.7286376953125,2038399,0.0,0.0
2020-07-03 00:00:00+05:30,1636.3672253559616,1660.1106447341094,1631.1552265120029,1636.6085205078125,1988941,0.0,0.0
2020-07-06 00:00:00+05:30,1649.4453714510298,1652.3892194664738,1633.2304077463361,1649.348876953125,1236670,0.0,0.0
2020-07-07 00:00:00+05:30,1649.4454164574315,1688.969634569615,1646.453380021345,1684.964111328125,2983260,0.0,0.0
2020-07-08 00:00:00+05:30,1689.0660290898352,1700.4552071567991,1621.5516940836026,1627.5357666015625,2725937,0.0,0.0
2020-07-09 00:00:00+05:30,1635.015971467144,1662.0410288467663,1633.1821047238327,1657.4564208984375,1904661,0.0,0.0
2020-07-10 00:00:00+05:30,1648.4801872807197,1651.4240352898214,1636.1741344169293,1644.1851806640625,1156043,0.0,0.0
2020-07-13 00:00:00+05:30,1648.5285269080352,1672.561548317455,1640.8070818171311,1646.2603759765625,1289791,0.0,0.0
2020-07-14 00:00:00+05:30,1646.2603274000487,1658.180284343427,1623.5302769564387,1629.6109619140625,1347120,0.0,0.0
2020-07-15 00:00:00+05:30,1640.8071851374275,1653.933619054545,1605.3851006803657,1613.4443359375,1611341,0.0,0.0
2020-07-16 00:00:00+05:30,1621.3103272912992,1638.0078800347892,1587.818491673976,1634.24365234375,1442725,0.0,0.0
2020-07-17 00:00:00+05:30,1635.981081411212,1681.8271589138863,1630.9138833714428,1658.083740234375,2308792,0.0,0.0
2020-07-20 00:00:00+05:30,1666.8669318585469,1696.1601401312241,1660.351962669175,1690.6103515625,1848600,0.0,0.0
2020-07-21 00:00:00+05:30,1699.6831581411075,1710.0588503330534,1659.1455700423417,1664.2127685546875,2088461,0.0,0.0
2020-07-22 00:00:00+05:30,1664.2128506187632,1675.9398198895851,1632.1205917914042,1636.7052001953125,1300409,0.0,0.0
2020-07-23 00:00:00+05:30,1632.5991854820124,1680.900936531776,1629.7010804190265,1669.1153564453125,2375218,1.5,0.0
2020-07-24 00:00:00+05:30,1665.4445854771661,1668.3426909043308,1624.871109496864,1653.9005126953125,3971563,0.0,0.0
2020-07-27 00:00:00+05:30,1658.8755776996634,1727.2709161812243,1658.8755776996634,1717.7554931640625,6470525,0.0,0.0
2020-07-28 00:00:00+05:30,1718.576545781691,1731.7629492709293,1691.5759102899945,1699.8837890625,2534092,0.0,0.0
2020-07-29 00:00:00+05:30,1709.8820207966028,1719.4457912774237,1671.2406191966797,1681.0458984375,1530981,0.0,0.0
2020-07-30 00:00:00+05:30,1692.4935566045722,1717.6104701158272,1669.4052932920763,1684.1373291015625,2113975,0.0,0.0
2020-07-31 00:00:00+05:30,1694.4256291157371,1710.751646504488,1652.3065207567672,1657.2332763671875,1678643,0.0,0.0
2020-08-03 00:00:00+05:30,1670.274701004677,1676.070911650153,1639.8445951159276,1647.5728759765625,1437425,0.0,0.0
2020-08-04 00:00:00+05:30,1660.6144867790572,1676.071049774092,1650.519466242612,1655.7359619140625,1815396,0.0,0.0
2020-08-05 00:00:00+05:30,1659.648438221243,1682.7849335983544,1654.3352447345044,1658.0062255859375,1416803,0.0,0.0
2020-08-06 00:00:00+05:30,1673.2211814897737,1692.5901149459335,1661.676991018655,1668.8740234375,1914507,0.0,0.0
2020-08-07 00:00:00+05:30,1668.874081349373,1755.1892989754676,1667.0868219709396,1744.9010009765625,5166075,0.0,0.0
2020-08-10 00:00:00+05:30,1748.5236399041135,1762.3379898642017,1716.6444796185688,1721.812744140625,1892614,0.0,0.0
