Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 00:00:00+05:30,1947.3934960427546,1988.9379359047969,1942.8032566533077,1953.421142578125,3127904,0.0,0.0
2020-06-10 00:00:00+05:30,1962.1377890960005,1975.213234872347,1943.6840095269667,1965.569091796875,2421659,0.0,0.0
2020-06-11 00:00:00+05:30,1961.3035802310628,1982.8175978644358,1943.3596484055195,1953.7921142578125,2566927,0.0,0.0
2020-06-12 00:00:00+05:30,1915.168828122683,1965.012829823007,1914.9369955566349,1954.11669921875,2338438,0.0,0.0
2020-06-15 00:00:00+05:30,1961.1647046064702,1976.7900853505973,1907.3331318682565,1932.834716796875,2830788,0.0,0.0
2020-06-16 00:00:00+05:30,1956.4814322609247,1965.9401556545592,1907.518349142183,1925.4622802734375,2806772,0.0,0.0
2020-06-17 00:00:00+05:30,1925.1377499379737,1946.4663473602152,1912.4333697967002,1927.2242431640625,2293301,0.0,0.0
2020-06-18 00:00:00+05:30,1919.805669003912,1933.344782757555,1904.782962520467,1915.2618408203125,2326907,0.0,0.0
2020-06-19 00:00:00+05:30,1941.0774692530388,1960.684312376807,1920.536966932901,1953.915283203125,4673528,14.0,0.0
2020-06-22 00:00:00+05:30,1970.0207707791756,1978.3302458858552,1948.5466107185496,1961.43115234375,2487234,0.0,0.0
2020-06-23 00:00:00+05:30,1974.6887080980812,2027.907269025547,1962.1777691629416,2012.9219970703125,4308814,0.0,0.0
2020-06-24 00:00:00+05:30,2027.907661830116,2032.4825004604613,1984.0256820391328,1988.97412109375,3023015,0.0,0.0
2020-06-25 00:00:00+05:30,1974.0354993838193,2044.6199912447437,1971.8880378446913,2028.981201171875,8208033,0.0,0.0
2020-06-26 00:00:00+05:30,2035.3298041562368,2035.3298041562368,1996.256313448739,2011.2880859375,3176048,0.0,0.0
2020-06-29 00:00:00+05:30,2008.6273718729844,2050.2216977822795,1998.0302510925908,2038.130859375,3295039,0.0,0.0
2020-06-30 00:00:00+05:30,2048.261495022599,2054.0034076347265,2026.0403615969037,2035.376953125,2373109,0.0,0.0
2020-07-01 00:00:00+05:30,2038.177769793738,2046.3940152791176,2016.79706805875,2026.41357421875,1532931,0.0,0.0
2020-07-02 00:00:00+05:30,2023.939153288997,2033.1822855539044,2002.6984125498323,2009.0006103515625,2588838,0.0,0.0
2020-07-03 00:00:00+05:30,2021.8381838551802,2042.8455074002006,2013.295296791158,2029.494140625,1946252,0.0,0.0
2020-07-06 00:00:00+05:30,2035.3768683544927,2035.3768683544927,2010.1680722785425,2018.1976318359375,2375516,0.0,0.0
2020-07-07 00:00:00+05:30,2031.1754125791447,2031.1754125791447,2008.9075514221754,2011.24169921875,2014667,0.0,0.0
2020-07-08 00:00:00+05:30,2010.7279598396815,2048.4476893780375,1984.0252233037054,2041.025146484375,3349938,0.0,0.0
2020-07-09 00:00:00+05:30,2038.177890971134,2072.6765504081377,2027.0207099007264,2031.5023193359375,3039571,0.0,0.0
2020-07-10 00:00:00+05:30,2026.0405711691644,2083.9274446311406,2023.6596944943979,2076.271484375,3179516,0.0,0.0
2020-07-13 00:00:00+05:30,2090.462882326213,2124.0746124574066,2086.728245644969,2114.971435546875,4556662,0.0,0.0
2020-07-14 00:00:00+05:30,2114.551377270923,2119.359630917607,2078.8856418326154,2086.494873046875,2403256,0.0,0.0
2020-07-15 00:00:00+05:30,2088.828287520547,2139.0124513172746,2086.7742836144225,2124.2138671875,2474512,0.0,0.0
2020-07-16 00:00:00+05:30,2124.307825875992,2139.2930997277786,2089.5290250787693,2136.072021484375,2495150,0.0,0.0
2020-07-17 00:00:00+05:30,2133.4107366446856,2184.7619797586717,2129.6761007818504,2179.673583984375,3088712,0.0,0.0
2020-07-20 00:00:00+05:30,2179.674252766761,2187.8437712233404,2147.9765667440647,2176.31298828125,2816219,0.0,0.0
2020-07-21 00:00:00+05:30,2192.2316985109737,2194.0990168231638,2154.8853322671753,2164.221923828125,3037810,0.0,0.0
2020-07-22 00:00:00+05:30,2175.4257373839505,2175.4257373839505,2092.5634909492614,2099.33251953125,6950011,0.0,0.0
2020-07-23 00:00:00+05:30,2110.0693929688473,2116.744963808787,2059.2317047314928,2064.64697265625,3936886,0.0,0.0
2020-07-24 00:00:00+05:30,2054.050078829363,2072.7232613641754,2024.2197153188245,2062.733154296875,4203314,0.0,0.0
2020-07-27 00:00:00+05:30,2070.6225575222347,2087.6151082796637,2039.8118059054007,2074.123779296875,2209409,0.0,0.0
2020-07-28 00:00:00+05:30,2082.9468065806577,2095.97130595598,2064.367080927732,2093.77734375,1567837,0.0,0.0
2020-07-29 00:00:00+05:30,2086.728174864775,2112.123657847011,2068.054992091936,2083.273681640625,2404978,0.0,0.0
2020-07-30 00:00:00+05:30,2092.1811327365485,2098.5102782288313,2053.549949737769,2058.70703125,2044966,9.5,0.0
2020-07-31 00:00:00+05:30,2060.4886941751593,2083.4142222583373,2042.204494158588,2072.115478515625,1715659,0.0,0.0
2020-08-03 00:00:00+05:30,2072.0215989323156,2084.44547692092,2052.0965115921003,2067.052001953125,1683773,0.0,0.0
2020-08-04 00:00:00+05:30,2072.11521713131,2080.5540776129105,2039.4851397374473,2060.769775390625,1981720,0.0,0.0
2020-08-05 00:00:00+05:30,2064.708357451103,2072.1157118526417,2045.0646066460338,2057.722900390625,1715477,0.0,0.0
2020-08-06 00:00:00+05:30,2062.8328889298396,2090.0247770111873,2055.378606774053,2082.0078125,1824483,0.0,0.0
2020-08-07 00:00:00+05:30,2084.3985648765965,2095.462894540482,2067.5208437035067,2072.724853515625,1777905,0.0,0.0
2020-08-10 00:00:00+05:30,2079.710196255098,2087.914643602813,2061.7073404301436,2069.16162109375,1476289,0.0,0.0
2020-08-11 00:00:00+05:30,2071.3184988963585,2093.7752001088484,2068.4586168563005,2072.818603515625,1665204,0.0,0.0
2020-08-12 00:00:00+05:30,2062.8800983800425,2071.3189613483237,2053.456655615034,2058.23876953125,1170430,0.0,0.0
2020-08-13 00:00:00+05:30,2062.832571035803,2078.772640902898,2054.346782175748,2061.566650390625,1453227,0.0,0.0
2020-08-14 00:00:00+05:30,2066.5838749259624,2077.8356927567756,2030.0623953338797,2038.3604736328125,1341664,0.0,0.0
2020-08-17 00:00:00+05:30,2045.0174527663692,2066.2551628059946,2033.2029550068132,2059.129150390625,1559579,0.0,0.0
2020-08-18 00:00:00+05:30,2066.58330417119,2078.5852856597467,2052.518535767121,2076.2880859375,1339001,0.0,0.0
