Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 00:00:00+05:30,640.3338085615588,648.8715709630051,635.9315027713442,638.1993408203125,10078029,0.0,0.0
2020-06-10 00:00:00+05:30,635.8870164486704,639.844645799005,630.7287829757898,636.6429443359375,7263049,0.0,0.0
2020-06-11 00:00:00+05:30,633.2189072942798,634.4640223640241,622.7690166191285,626.0596313476562,8825715,0.0,0.0
2020-06-12 00:00:00+05:30,601.0243418406906,618.2333433719971,600.7575469766981,615.476318359375,9795316,0.0,0.0
2020-06-15 00:00:00+05:30,616.3212246907829,626.4598639525142,609.4287434622784,611.4742431640625,7857344,0.0,0.0
2020-06-16 00:00:00+05:30,624.325423744747,633.2189482995155,621.7907909593445,623.6139526367188,10131760,0.0,0.0
2020-06-17 00:00:00+05:30,622.4578358431633,631.707069264896,620.7680443821375,625.7929077148438,7291916,0.0,0.0
2020-06-18 00:00:00+05:30,629.8394324869248,637.3099606940532,627.8828461891886,634.9087524414062,6670195,0.0,0.0
2020-06-19 00:00:00+05:30,630.5507590963838,633.1299023907211,623.4359409401482,627.4824829101562,22438862,0.0,0.0
2020-06-22 00:00:00+05:30,628.8611071245523,630.2841036395035,622.5467263273672,625.8373413085938,7804096,0.0,0.0
2020-06-23 00:00:00+05:30,618.7225696576886,644.3359118176897,615.5208679615816,640.9119262695312,12157390,0.0,0.0
2020-06-24 00:00:00+05:30,637.5767615970568,646.3813178477159,630.9066185518167,635.1310424804688,10220838,0.0,0.0
2020-06-25 00:00:00+05:30,626.8599940910882,627.5270083662572,616.7658664395689,622.9913330078125,14945284,0.0,0.0
2020-06-26 00:00:00+05:30,631.6181201223332,668.4372789410681,631.440238776184,665.4135131835938,26030458,0.0,0.0
2020-06-29 00:00:00+05:30,654.0299110812235,662.3008792446229,649.3162989671274,650.7837524414062,8954428,0.0,0.0
2020-06-30 00:00:00+05:30,651.717499851441,657.1870394283036,644.1135468478716,654.5189819335938,10411290,0.0,0.0
2020-07-01 00:00:00+05:30,655.6751284039879,660.1663476574207,649.0049846765821,650.9171142578125,5477468,0.0,0.0
2020-07-02 00:00:00+05:30,655.764058245608,680.7548966013774,654.0298642587792,672.8840942382812,17263756,0.0,0.0
2020-07-03 00:00:00+05:30,671.4610577383606,679.4652292875596,669.237676752472,678.30908203125,7796572,0.0,0.0
2020-07-06 00:00:00+05:30,680.5325047911842,689.2481479345191,677.2418898737243,679.4652709960938,8810958,0.0,0.0
2020-07-07 00:00:00+05:30,684.2678228961965,708.7694729738242,680.8437832637665,706.279296875,19362533,0.0,0.0
2020-07-08 00:00:00+05:30,698.0527286852647,698.0527286852647,686.7579422160295,688.9813232421875,8476642,0.0,0.0
2020-07-09 00:00:00+05:30,693.6949380641917,702.5884629111684,689.2481756407033,695.2068481445312,6854166,0.0,0.0
2020-07-10 00:00:00+05:30,687.9140781337458,702.4994791371985,687.9140781337458,695.3401489257812,5206452,0.0,0.0
2020-07-13 00:00:00+05:30,700.8097088361494,716.2399516517524,699.0754607561538,708.8583374023438,10804688,0.0,0.0
2020-07-14 00:00:00+05:30,705.2120570259717,717.173858690045,694.8955357305508,696.5853271484375,8961822,0.0,0.0
2020-07-15 00:00:00+05:30,710.59268268587,754.571176844873,706.8573911445587,739.0075073242188,30060599,0.0,0.0
2020-07-16 00:00:00+05:30,800.5061099286693,849.7762568418333,795.3034198647927,810.2000732421875,90432109,0.0,0.0
2020-07-17 00:00:00+05:30,810.2001455679821,818.1154047072049,793.4358722818355,803.21875,31682878,0.0,0.0
2020-07-20 00:00:00+05:30,807.9766549833412,840.4380175666015,806.4202882841438,830.9219360351562,18421053,0.0,0.0
2020-07-21 00:00:00+05:30,840.4380486811324,844.6180159700793,826.3862911045097,833.1008911132812,12877784,0.0,0.0
2020-07-22 00:00:00+05:30,835.0574664909967,835.1019232556906,809.3107030486458,816.3366088867188,14354201,0.0,0.0
2020-07-23 00:00:00+05:30,814.3355733882971,814.4689436835986,800.9952869522857,807.487548828125,13051307,0.0,0.0
2020-07-24 00:00:00+05:30,803.3075454527898,823.3179742074954,803.3075454527898,820.7388305664062,18209580,0.0,0.0
2020-07-27 00:00:00+05:30,819.5828041838615,847.3750704418038,817.0037144441865,843.5064086914062,16827870,0.0,0.0
2020-07-28 00:00:00+05:30,841.3274211500055,860.4929556697439,837.0585402288534,856.31298828125,15818463,0.0,0.0
2020-07-29 00:00:00+05:30,847.7752446555619,853.7783738466713,839.1929715807505,848.57568359375,11152710,0.0,0.0
2020-07-30 00:00:00+05:30,855.5571261948261,865.0287522671754,852.6667304982219,855.0679931640625,12492320,0.0,0.0
2020-07-31 00:00:00+05:30,862.0047750532258,877.3016465037645,847.8195940528459,859.1143798828125,12704346,0.0,0.0
2020-08-03 00:00:00+05:30,853.7783331260346,858.5808579625743,842.6169709816252,851.0213623046875,8479792,0.0,0.0
2020-08-04 00:00:00+05:30,854.178572357572,863.2944349796632,836.4804368712447,844.7514038085938,11133170,0.0,0.0
2020-08-05 00:00:00+05:30,846.6635266328617,854.6232418624963,834.4793872945021,840.1712646484375,9614176,0.0,0.0
2020-08-06 00:00:00+05:30,847.9975522754795,866.5850400003067,838.2146754269946,863.4277954101562,10976491,0.0,0.0
2020-08-07 00:00:00+05:30,862.1827183081617,862.1827183081617,843.9954503809033,845.6852416992188,8010948,0.0,0.0
2020-08-10 00:00:00+05:30,843.906639974253,850.932492413375,840.704938287537,846.0855102539062,5716319,0.0,0.0
2020-08-11 00:00:00+05:30,844.7959807021288,855.5571244844961,841.416397699747,843.5064086914062,6802442,0.0,0.0
