Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2020-06-09 00:00:00+05:30,5524.843591669476,5556.5293474089785,5396.180219878773,5436.79541015625,1336806,0.0,0.0,,,,,,,,
2020-06-10 00:00:00+05:30,5429.786231563309,5511.401055556746,5391.379255566399,5449.56591796875,1432292,0.0,0.0,,,,,,,,
2020-06-11 00:00:00+05:30,5412.503161547249,5462.432230981426,5185.229690646458,5210.05029296875,1766481,0.0,0.0,,,,,,,,
2020-06-12 00:00:00+05:30,4993.867083202229,5384.945931043722,4993.867083202229,5340.25,2064628,0.0,0.0,,,,,,,,
2020-06-15 00:00:00+05:30,5300.163012772223,5362.574352596534,5176.348328771305,5257.67529296875,1530562,0.0,0.0,,,,,,,,
2020-06-16 00:00:00+05:30,5367.37440615464,5389.026149364564,5184.9412868041245,5283.0712890625,1184933,0.0,0.0,,,,,,,,
2020-06-17 00:00:00+05:30,5228.14964802514,5581.926095947608,5228.14964802514,5498.15087890625,3454833,0.0,0.0,,,,,,,,
2020-06-18 00:00:00+05:30,5468.193023535406,5528.684008694797,5416.343607684499,5486.8203125,1580214,0.0,0.0,,,,,,,,
2020-06-19 00:00:00+05:30,5521.962763168343,5698.634846010104,5479.715091184443,5662.484375,1854589,0.0,0.0,,,,,,,,
2020-06-22 00:00:00+05:30,5665.028685695281,5737.041762208356,5575.108451256314,5661.18798828125,1497563,0.0,0.0,,,,,,,,
2020-06-23 00:00:00+05:30,5665.02924959388,5767.960138069726,5629.070528941624,5652.06689453125,1398070,0.0,0.0,,,,,,,,
2020-06-24 00:00:00+05:30,5701.515906946976,5701.515906946976,5501.799620546677,5526.14013671875,1268449,0.0,0.0,,,,,,,,
2020-06-25 00:00:00+05:30,5450.910296080311,5613.947728464232,5425.9457606393935,5532.81298828125,1266203,0.0,0.0,,,,,,,,
2020-06-26 00:00:00+05:30,5569.011970522742,5578.613715299505,5468.193650366727,5525.7080078125,1063057,0.0,0.0,,,,,,,,
2020-06-29 00:00:00+05:30,5501.79923900114,5569.011446109356,5424.985288020322,5452.54248046875,1102655,0.0,0.0,,,,,48.44977382009773,,,
2020-06-30 00:00:00+05:30,5521.002918999154,5640.544634375744,5455.183149994543,5605.7861328125,2015814,0.0,0.0,,,,,58.945016899941336,,,
2020-07-01 00:00:00+05:30,5605.786139598294,5650.62647263312,5545.0072862287625,5571.98828125,1284965,0.0,0.0,,,,,56.22612844643411,,,
2020-07-02 00:00:00+05:30,5617.020444039636,5722.639631876278,5533.293045784155,5711.5498046875,1470941,0.0,0.0,,,,,63.676718394700124,,,
2020-07-03 00:00:00+05:30,5711.54953096243,5750.1004389082245,5648.75375086271,5695.8505859375,1059779,0.0,0.0,,,,,62.390278064349154,,,
2020-07-06 00:00:00+05:30,5725.9522828311965,5902.8644181821255,5689.033389168268,5879.72412109375,1385081,0.0,0.0,5522.011059570313,,5522.011059570313,,70.02781391480889,,,
2020-07-07 00:00:00+05:30,5895.470500260971,6001.089678604409,5850.006151088838,5978.765625,1799721,0.0,0.0,5549.1095703125,,5565.5114943731405,,73.18638849440073,,,
2020-07-08 00:00:00+05:30,5978.76612348433,5986.687562520544,5782.746607646141,5803.67822265625,1204072,0.0,0.0,5566.815185546875,,5588.194039923913,,60.95667362516392,,,
2020-07-09 00:00:00+05:30,5837.860180578684,5853.222970527576,5695.130353976795,5763.302734375,1043427,0.0,0.0,5594.477807617188,,5604.871058443064,,58.52784904066764,,,
2020-07-10 00:00:00+05:30,5741.842742058794,5842.757162279063,5685.192454135471,5718.46240234375,1168821,0.0,0.0,5613.388427734375,,5615.6892816717,,55.86556258528213,,,
2020-07-13 00:00:00+05:30,5761.046671610207,5817.937007492358,5691.72188912776,5750.3408203125,1035069,0.0,0.0,5638.021704101562,,5628.513237732728,,57.35086560599818,,,
2020-07-14 00:00:00+05:30,5713.997480403609,5721.438831516553,5521.00243863565,5541.88623046875,1602929,0.0,0.0,5650.962451171875,,5620.263046564731,,46.363101337784144,107.25710591856478,,
2020-07-15 00:00:00+05:30,5578.613470748659,5645.63345881842,5525.803876791486,5570.259765625,1246705,0.0,0.0,5654.567895507813,,5615.500829332375,,47.828281957621535,90.23472265334294,,
2020-07-16 00:00:00+05:30,5577.652690909294,5684.232041691,5522.922754021391,5641.3603515625,1018658,0.0,0.0,5662.294897460937,,5617.963640973339,,51.4102106587289,81.54162327357244,,
