Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2020-06-09 00:00:00+05:30,173.19389720903436,176.23886470305752,169.18008858105895,170.195068359375,96654191,0.0,0.0,,,,,,,,
2020-06-10 00:00:00+05:30,170.2873419350615,174.3934277622331,169.59530452330662,173.1938934326172,67333317,0.0,0.0,,,,,,,,
2020-06-11 00:00:00+05:30,173.47070855048648,175.6852226022949,162.72106655138018,163.459228515625,91726802,0.0,0.0,,,,,,,,
2020-06-12 00:00:00+05:30,156.86182103496756,166.08898697820092,156.67728053201046,165.30467224121094,92758901,0.0,0.0,,,,,,,,
2020-06-15 00:00:00+05:30,164.10514581897712,164.10514581897712,158.70724831145287,160.27586364746094,63613412,0.0,0.0,,,,,,,,
2020-06-16 00:00:00+05:30,164.24356505336516,165.12014306218043,156.30819616616233,159.53770446777344,63925976,0.0,0.0,,,,,,,,
2020-06-17 00:00:00+05:30,157.7845372484296,162.58266071142162,156.16978321226145,159.58383178710938,73866905,0.0,0.0,,,,,,,,
2020-06-18 00:00:00+05:30,159.07632677520422,166.68873827379997,157.87680652996428,165.76602172851562,58261857,0.0,0.0,,,,,,,,
2020-06-19 00:00:00+05:30,166.36580407352952,170.65643058729367,165.62762798526424,170.2412109375,76895151,0.0,0.0,,,,,,,,
2020-06-22 00:00:00+05:30,170.702561566207,176.93089827200103,170.0105241544521,173.1938934326172,80023958,0.0,0.0,,,,,,,,
2020-06-23 00:00:00+05:30,174.94706376181597,178.17657169143098,173.33230979700846,177.57679748535156,65487085,0.0,0.0,,,,,,,,
2020-06-24 00:00:00+05:30,179.74518683309515,179.83745004041245,169.6875679860538,170.33348083496094,74668987,0.0,0.0,,,,,,,,
2020-06-25 00:00:00+05:30,168.11896948055607,172.36347166870377,166.4580767078227,170.93325805664062,73620385,0.0,0.0,,,,,,,,
2020-06-26 00:00:00+05:30,173.47071147449327,174.0243470365459,169.5953047787365,170.33348083496094,49176958,0.0,0.0,,,,,,,,
2020-06-29 00:00:00+05:30,168.85712921270266,168.94940649982505,164.70490472386572,165.39694213867188,50966428,0.0,0.0,,,,,44.26343824851885,,,
2020-06-30 00:00:00+05:30,167.1039750376217,168.76485358586618,163.55151064151983,164.6587677001953,43613239,0.0,0.0,,,,,43.20399808929624,,,
2020-07-01 00:00:00+05:30,165.5814814736915,171.07164211012798,164.79718085679323,170.5180206298828,54012853,0.0,0.0,,,,,52.85061892564508,,,
2020-07-02 00:00:00+05:30,171.3023230881722,173.47071262783504,169.7798464017109,171.11778259277344,52127276,0.0,0.0,,,,,53.71717889556369,,,
2020-07-03 00:00:00+05:30,172.22502984053332,172.4095844049633,169.2262012025203,170.4257354736328,38048810,0.0,0.0,,,,,52.517761716853656,,,
2020-07-06 00:00:00+05:30,172.1789246961322,175.17775367233276,171.76369095887392,173.51686096191406,43773740,0.0,0.0,168.27812576293945,,168.27812576293945,,57.122952196465874,,,
2020-07-07 00:00:00+05:30,172.54800086407138,174.57797452891762,169.82598976260454,174.02435302734375,55124494,0.0,0.0,168.4695899963379,,168.8253855024065,,57.845812607812064,,,
2020-07-08 00:00:00+05:30,174.30115569008754,182.19038523602293,173.8397974017818,177.06930541992188,143063102,0.0,0.0,168.66336059570312,,169.61052073264605,,61.98676578967392,,,
2020-07-09 00:00:00+05:30,177.89977291478257,185.4660466279763,177.66909375230995,183.712890625,89539723,0.0,0.0,169.67604370117186,,170.9536035795369,,69.11542580296232,,,
2020-07-10 00:00:00+05:30,182.697897516796,186.85012246035956,179.745207039503,180.4833831787109,111406477,0.0,0.0,170.4349792480469,,171.8612016366011,,62.936744175152526,,,
2020-07-13 00:00:00+05:30,183.43607229748184,184.3587889447735,176.79251525288993,177.8074951171875,61949761,0.0,0.0,171.3115608215332,,172.42751530141885,,58.287200201127746,,,
2020-07-14 00:00:00+05:30,177.43841145504763,177.43841145504763,170.333496192321,171.6714324951172,62239932,0.0,0.0,171.9182472229004,,172.35550741510443,,49.294132902889594,3.9209495588165737,,
2020-07-15 00:00:00+05:30,173.4245744853408,175.27000760373662,168.85713033321858,169.59530639648438,58527305,0.0,0.0,172.41882095336913,,172.0926311276168,,46.67037038063452,3.253745019329841,,
2020-07-16 00:00:00+05:30,170.7025916592387,172.5018864310903,167.61148504332309,171.85598754882812,46546803,0.0,0.0,172.72331924438475,,172.07009364392266,,49.80346357608637,2.874265941920868,,
2020-07-17 00:00:00+05:30,172.3634605937754,174.85479255302977,170.70256792775993,173.65525817871094,47035238,0.0,0.0,172.8940216064453,,172.22106169485488,,52.209953563873334,2.687729667224488,,
2020-07-20 00:00:00+05:30,175.3161717086132,178.31500096152368,174.16277584210917,176.00820922851562,45672856,0.0,0.0,173.03473739624025,,172.5817424123464,,55.23250816727283,2.6986534141878167,,
2020-07-21 00:00:00+05:30,177.57680410655942,181.03699130302212,176.70022616602975,179.3760986328125,59281860,0.0,0.0,173.12470245361328,,173.22882395715268,,59.209255073897175,2.9451215625595353,,
2020-07-22 00:00:00+05:30,180.57563924532587,181.54449450969696,175.40843463457713,177.16159057617188,62276152,0.0,0.0,173.46610794067382,,173.60337315896405,,55.7052445605855,2.9280048359671014,,
2020-07-23 00:00:00+05:30,177.53067564059748,183.71288838304935,176.37727984230995,182.92857360839844,70801412,0.0,0.0,174.0658737182617,,174.4914874874816,,62.010410197269756,3.341270949202311,,
2020-07-24 00:00:00+05:30,180.57563523718375,181.12927082726085,175.91591360590516,177.11544799804688,65265493,0.0,0.0,174.40497207641602,,174.74138848848781,,53.71090205890936,3.1632526593248826,0.07292003615450282,3.09033262317038
2020-07-27 00:00:00+05:30,178.08431469812382,178.26885521350945,172.08665643108856,172.68641662597656,50697767,0.0,0.0,174.76944580078126,,174.54567688253437,,48.396157842457534,2.6344181329102128,-0.36473159220813356,2.9991497251183463
2020-07-28 00:00:00+05:30,173.47073369043224,175.77752536184755,171.39462118615845,174.8086700439453,51488617,0.0,0.0,175.27694091796874,,174.57072385028778,,50.903115641713406,2.359363797888676,-0.5118287417837362,2.8711925396724123
2020-07-29 00:00:00+05:30,173.10162975915296,180.1604057082237,172.54799419942552,176.42340087890625,73763368,0.0,0.0,175.57220993041992,,174.74716928158477,,52.782666256073995,2.2457884875081504,-0.5003232417314099,2.7461117292395603
2020-07-30 00:00:00+05:30,177.622958600219,178.54567526827208,171.6714389071844,172.13279724121094,48472816,0.0,0.0,175.6229606628418,,174.49818146821582,,47.571338319800105,1.7889415753709557,-0.765736123094884,2.5546776984658397
2020-07-31 00:00:00+05:30,173.470728907862,179.7913435450969,172.2711944558893,176.6540985107422,145892485,0.0,0.0,175.93437881469725,,174.70350690083737,,52.853768837701566,1.7712998899226875,-0.626702246834522,2.3980021367572095
2020-08-03 00:00:00+05:30,177.16156331274382,179.560631781085,175.36226900125598,177.39224243164062,72454278,0.0,0.0,176.1281478881836,,174.95957695139006,,53.674400657257685,1.7961755786041635,-0.48146124652243705,2.2776368251266006
2020-08-04 00:00:00+05:30,178.40728047827625,178.8225001794664,175.77753223817282,176.7925262451172,43866676,0.0,0.0,176.26655654907228,,175.13414355079263,,52.869219364973624,1.7473552334484168,-0.4242252733425471,2.171580506790964
2020-08-05 00:00:00+05:30,177.8536329627149,181.63677683135077,176.2388788372428,176.6540985107422,68888892,0.0,0.0,176.24579620361328,,175.27890116602592,,52.67280423621179,1.6781501268554564,-0.3947443039484062,2.0728944308038626
2020-08-06 00:00:00+05:30,177.43840681926417,179.46838054421656,175.54683495391876,176.19273376464844,59740172,0.0,0.0,175.8697883605957,,175.36593284208521,,51.979679160198174,1.5680013584477592,-0.4039144578848828,1.971915816332642
2020-08-07 00:00:00+05:30,176.65410020977455,177.25387448129877,174.90094420278726,175.91592407226562,44822338,0.0,0.0,175.64141540527345,,175.41831295924527,,51.5414478982745,1.4417518196083279,-0.4241311973794515,1.8658830169877794
2020-08-10 00:00:00+05:30,177.0231847004732,180.3910946464563,176.88476876325188,178.82247924804688,48784530,0.0,0.0,175.6921646118164,,175.74251927246445,,55.7591436486264,1.5582700944305827,-0.2460903380457573,1.80436043247634
2020-08-11 00:00:00+05:30,179.92975246340845,181.59064530205544,178.77635661428403,179.97589111328125,43890305,0.0,0.0,176.1073875427246,,176.14569754301843,,57.34570936179493,1.7238113406555158,-0.06443927345665945,1.7882506141121752
2020-08-12 00:00:00+05:30,180.85245336631172,188.46486530647536,179.5606557597961,187.5882873535156,157818228,0.0,0.0,177.00703659057618,,177.235468001161,,66.00959218283542,2.4411210046891085,0.5222963124615465,1.918824692227562
2020-08-13 00:00:00+05:30,189.61824817457568,191.27914075551587,185.2353446279614,186.2964630126953,70443118,0.0,0.0,177.72906036376952,,178.09841990702142,,63.64696967123895,2.872245198556726,0.7627364050633312,2.109508793493395
2020-08-14 00:00:00+05:30,187.3114701676308,188.23418676944175,179.56065634423368,181.31381225585935,56169088,0.0,0.0,178.11198806762695,,178.4046477497679,,55.40918033604778,2.779812011456869,0.536242574370779,2.24356943708609
2020-08-17 00:00:00+05:30,183.1130998924129,183.29764038989248,176.7002225681197,178.17657470703125,54787889,0.0,0.0,178.22040634155275,173.7170852661133,178.38292650760252,173.7170852661133,50.93871647783472,2.425450114404242,0.14550454185452155,2.2799455725497206
2020-08-18 00:00:00+05:30,178.82248400911834,180.62177860459747,176.88477347273263,180.0220184326172,46294169,0.0,0.0,178.25270233154296,173.91362426757811,178.53903050046105,173.96433754715267,53.32432697338005,2.2673905764251003,-0.010043996899696594,2.277434573324797
2020-08-19 00:00:00+05:30,181.22153009849168,184.8201331966633,180.76017180997252,181.82130432128903,59296062,0.0,0.0,178.48568801879884,174.08617248535157,178.85162800720659,174.27245389123644,55.59162973550073,2.2612483246668376,-0.012948998926367583,2.274197323593205
2020-08-20 00:00:00+05:30,179.00702868009867,181.17541842221428,178.314991198088,179.69906616210938,37504602,0.0,0.0,178.32421264648437,174.41096923828124,178.9323364029116,174.4852622155844,52.36087175790121,2.0613714557516687,-0.17026069427322943,2.231632150024898
2020-08-21 00:00:00+05:30,183.6206064261346,185.92739796415137,182.37493336379023,183.0669708251953,68041871,0.0,0.0,178.6217887878418,174.76621520996093,179.32611110979576,174.82179980811816,56.66499072256243,2.149946116126955,-0.06534882711835444,2.2152949432453095
2020-08-24 00:00:00+05:30,184.5433047015477,187.12691378327676,183.2515072004516,185.88124084472656,53850253,0.0,0.0,179.2815299987793,175.27832275390625,179.95040917978918,175.25550337818123,59.92337471303574,2.4193415796186173,0.1632373090986463,2.256104270519971
2020-08-25 00:00:00+05:30,188.23419361499467,192.34027982647288,187.03465917310908,191.87892150878903,105394375,0.0,0.0,180.1350425720215,175.92514709472655,181.08645797302725,175.90740212840115,65.8215536568167,3.0812830176114403,0.6601429976731756,2.4211400199382647
2020-08-26 00:00:00+05:30,192.38640706245232,194.09343836844263,190.2180174661444,193.632080078125,66749637,0.0,0.0,180.99547653198243,176.60611206054688,182.28127912589372,176.60248753819423,67.33488336263314,3.7046368732210624,1.0267974826262378,2.6778393905948246
2020-08-27 00:00:00+05:30,194.23182601399665,199.7681250927804,194.23182601399665,198.9838104248047,80997993,0.0,0.0,182.3380271911621,177.27046783447267,183.87199639245668,177.48018647492404,71.48543397227967,4.577720099736155,1.519904567313064,3.0578155324230907
2020-08-28 00:00:00+05:30,200.22950819672133,208.44168055085444,200.0449676871021,207.47283935546875,95974037,0.0,0.0,183.87896423339845,178.01510040283202,186.11969572226735,178.65636894082778,76.5708501931387,5.886779407289737,2.2631710998933166,3.6236083073964203
2020-08-31 00:00:00+05:30,213.6550335342972,213.6550335342972,194.093444248154,195.6159210205078,119986476,0.0,0.0,184.7901481628418,178.46354095458983,187.0240981316236,179.32144941454072,60.37465805975475,5.899458833412751,1.8206804208130647,4.078778412599687
2020-09-01 00:00:00+05:30,196.6309086806484,201.98265357695837,194.87773873225572,201.24449157714844,75048313,0.0,0.0,186.01274642944335,178.93689483642578,188.37842131691167,180.1811765581724,64.24136575920208,6.2911653360797,1.7699095387840114,4.521255797295689
2020-09-02 00:00:00+05:30,201.38290888615427,202.0749463737356,195.89274763391717,199.5374755859375,47608088,0.0,0.0,187.15691528320312,179.5209747314453,189.44118839015223,180.94024710828083,62.257181791563305,6.390191487462005,1.4951485521330525,4.895042935328952
2020-09-03 00:00:00+05:30,200.6908552066512,201.38289263839823,195.89273182911236,196.67703247070312,38594129,0.0,0.0,188.18113021850587,180.03585021972657,190.13031639782375,181.5573759460229,58.97032271240261,6.166769887615061,1.0173815618288868,5.149388325786174
2020-09-04 00:00:00+05:30,193.7704858099913,195.89273680381783,189.9873421218858,190.6332550048828,54435758,0.0,0.0,188.91699676513673,180.441845703125,190.17821531278176,181.91329277186054,52.64596338045697,5.439323196585633,0.23194789663956694,5.207375299946066
2020-09-07 00:00:00+05:30,191.46369791589447,193.4475330094728,189.52598738950869,191.8327789306641,35687359,0.0,0.0,189.56751174926757,180.97056243896483,190.3357928001991,182.30229222906854,53.70712687619338,4.903088259555545,-0.24342963231241654,5.146517891867962
2020-09-08 00:00:00+05:30,191.83276956610615,192.38640514077235,187.2191867090133,188.2803192138672,34146789,0.0,0.0,189.98273315429688,181.44299346923827,190.14003341102463,182.53672465984496,50.124663982171235,4.143698422541803,-0.8022555754609275,4.9459539980027305
2020-09-09 00:00:00+05:30,185.5583148390082,185.8351185567908,177.62294640668645,179.7913360595703,72715826,0.0,0.0,189.5928855895996,181.62845977783203,189.1544431870766,182.429062361795,42.781012858716934,2.824329399210569,-1.697299679033729,4.521629078244298
2020-09-10 00:00:00+05:30,182.42106879852395,185.8812560446247,180.11427730112345,182.83628845214844,67789617,0.0,0.0,189.41987686157228,181.86282989501953,188.55271416470248,182.4450320123971,45.84581274662433,2.00135181510592,-2.016221810510702,4.017573625616622
2020-09-11 00:00:00+05:30,183.20538443732443,188.09578525168843,181.77517088601925,187.0346527099609,48487971,0.0,0.0,189.70591888427734,182.1950082397461,188.40813688329854,182.62501713779176,49.835533055844316,1.6686736280105947,-1.879119998084822,3.547793626095417
2020-09-14 00:00:00+05:30,189.9873377676556,190.2641555569475,182.0981222898312,183.15924072265625,63605531,0.0,0.0,189.9550521850586,182.38785583496093,187.9082420108564,182.64596708229627,46.43477160922886,1.0798624268488197,-1.9743449593972775,3.0542073862460972
2020-09-15 00:00:00+05:30,184.4510530148446,185.4660469633751,181.86745765411015,184.6817321777344,51761038,0.0,0.0,190.18803787231445,182.60100341796874,187.6009553600829,182.72580100760757,47.93784730042402,0.7276892949835769,-1.8612144730100164,2.5889037679935933
2020-09-16 00:00:00+05:30,184.40492189901656,184.58946240686893,181.08313643952087,182.88243103027344,52404964,0.0,0.0,190.24109420776367,182.71726593017578,187.15157209057725,182.73194336143763,46.284856310264736,0.29994342440875243,-1.8311682748678728,2.1311116992766252
2020-09-17 00:00:00+05:30,181.77516898064965,182.6978855744601,179.92973579302884,180.34495544433597,41223296,0.0,0.0,190.273388671875,182.6499072265625,186.50332288617332,182.6383359921395,43.98158280325786,-0.24102297021224217,-1.897707735591094,1.656684765378852
2020-09-18 00:00:00+05:30,180.85245607077164,181.9597131899912,175.03933859544634,177.71522521972656,55286316,0.0,0.0,190.00580139160155,182.5945440673828,185.6663612036546,182.4452728245939,41.66740332633906,-0.8718893888133437,-2.0228593233537566,1.1509699345404127
2020-09-21 00:00:00+05:30,178.13042973595864,178.5456493604243,170.01052141942213,171.44073486328125,57611375,0.0,0.0,189.2837760925293,182.4672088623047,184.31153964742856,182.01372231630714,36.70488632020755,-1.8567510342279263,-2.4061767750146714,0.549425740786745
2020-09-22 00:00:00+05:30,171.7637063202661,173.74755565274378,167.15012286734958,171.80984497070312,51210889,0.0,0.0,188.280322265625,182.4699771118164,183.120902059169,181.61357026353835,37.17888093224093,-2.5777620466048177,-2.50175022991325,-0.07601181669156754
2020-09-23 00:00:00+05:30,173.6091149812729,174.3472910445387,167.01169721482276,169.59530639648438,44320497,0.0,0.0,187.07848358154297,182.4699771118164,181.83275009129426,181.1422657981637,35.46298665968189,-3.289938856563083,-2.5711416318972122,-0.7187972246658707
2020-09-24 00:00:00+05:30,167.10397295144406,167.74987172097968,161.9367546360846,162.7210693359375,46114798,0.0,0.0,185.2653465270996,182.2872787475586,180.01259001935554,180.41986593689992,30.722937109123027,-4.358792147182953,-2.911995938013666,-1.4467962091692872
2020-09-25 00:00:00+05:30,165.16626728893272,168.626454452807,162.53651941257323,168.11895751953125,46550127,0.0,0.0,183.29765243530272,182.176552734375,178.87986311461037,179.93747737151293,37.7581046493982,-4.715939204707496,-2.6153143964305667,-2.100624808276929
2020-09-28 00:00:00+05:30,169.7798575183578,173.60912584687503,169.18009734915717,172.7786865234375,41921548,0.0,0.0,182.15579071044922,182.11196228027345,178.29879867735582,179.65674047550996,43.12731218219494,-4.570296104682001,-1.9757370371240572,-2.5945590675579435
2020-09-29 00:00:00+05:30,173.93208787644082,174.34730755148482,169.08782548200415,170.74871826171875,35688726,0.0,0.0,180.63100204467773,181.93941467285157,177.5797433996761,179.30740627104757,41.44980961693937,-4.566039906398203,-1.577184671072207,-2.9888552353259956
2020-09-30 00:00:00+05:30,170.74871290499627,172.36346698581715,168.30350542060168,171.0716552734375,37641083,0.0,0.0,179.20771102905275,181.81761596679686,176.95992548289146,178.98443564369032,41.837395458861224,-4.4849092782450555,-1.196843234335248,-3.2880660439098075
2020-10-01 00:00:00+05:30,172.54798921156322,176.4233957790172,172.45571192776373,175.59295654296875,43588724,0.0,0.0,178.15350723266602,181.67090362548828,176.8297379648036,178.85143646326986,47.11572449585514,-4.009561712997254,-0.5771965352699571,-3.4323651777272968
2020-10-05 00:00:00+05:30,177.16159457781455,178.82248734288927,172.594150033513,174.1627655029297,41694686,0.0,0.0,177.32998275756836,181.61184997558593,176.5757405874823,178.66756701384475,45.70282601413534,-3.7055347096523974,-0.21853562554008032,-3.486999084112317
